City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Sisimiut,GL,66.9395,-53.6735,7.72,95,100,5.57,overcast clouds
305,Gryfice,PL,53.9165,15.2003,33.39,81,84,15.46,broken clouds
306,Udalguri,IN,26.7667,92.1333,69.15,48,0,8.39,clear sky
307,Vila Praia De Ancora,PT,41.811,-8.8526,49.12,90,68,12.1,broken clouds
308,Guerrero Negro,MX,27.9769,-114.0611,66.6,44,100,5.64,overcast clouds
309,La Palma,US,33.8464,-118.0467,76.01,32,0,3.44,clear sky
310,Mount Isa,AU,-20.7333,139.5,76.77,73,100,17.27,thunderstorm with heavy rain
311,Kasongo,CD,-4.45,26.6667,67.37,93,72,0.87,broken clouds
312,Kanniyakumari,IN,8.0833,77.5667,82.78,60,97,22.39,overcast clouds
313,Sabha,LY,27.0377,14.4283,47.39,44,1,9.15,clear sky
314,Beni,CD,0.5,29.4667,66.16,65,93,2.86,overcast clouds
315,Sioux Lookout,CA,50.1001,-91.917,-18.02,75,0,3.44,clear sky
316,Taltal,CL,-25.4,-70.4833,66.4,85,15,1.86,few clouds
317,Cockburn Town,TC,21.4612,-71.1419,77.27,77,0,22.93,clear sky
318,Auki,SB,-8.7676,160.7034,81.73,78,95,1.21,overcast clouds
319,Sandwick,GB,60.0,-1.25,44.42,87,75,23.02,broken clouds
320,Belyy Yar,RU,53.6039,91.3903,-16.71,83,92,0.0,mist
321,Buritis,BR,-15.6178,-46.4233,69.76,95,93,1.52,overcast clouds
322,Springbok,ZA,-29.6643,17.8865,71.22,45,12,3.27,few clouds
323,Omboue,GA,-1.5746,9.2618,77.56,88,99,4.34,light rain
324,Naze,JP,28.3667,129.4833,65.32,73,100,10.74,overcast clouds
325,Otane,NZ,-39.8833,176.6333,61.02,90,100,12.93,overcast clouds
326,Clyde River,CA,70.4692,-68.5914,-14.57,76,100,26.46,light snow
327,Komsomolskiy,UZ,40.4272,71.7189,40.42,93,100,2.3,fog
328,Garowe,SO,8.4054,48.4845,69.4,60,100,10.4,overcast clouds
329,Ucluelet,CA,48.9329,-125.5528,37.96,71,94,2.51,overcast clouds
330,Tongliao,CN,43.6125,122.2653,10.6,80,34,8.34,scattered clouds
331,Sungairaya,ID,0.7,108.9,83.8,74,71,3.33,broken clouds
332,Lata,PT,40.1629,-8.3327,43.05,91,73,2.37,broken clouds
333,Sanmenxia,CN,34.7747,111.1814,48.43,49,5,10.51,clear sky
334,Magaria,NE,12.9983,8.9099,60.08,15,0,8.34,clear sky
335,Khed Brahma,IN,24.0333,73.05,75.92,18,0,5.26,clear sky
336,Ishigaki,JP,24.3448,124.1572,69.93,100,75,9.22,broken clouds
337,Ciudad Bolivar,VE,8.1222,-63.5497,74.35,72,82,12.21,broken clouds
338,Ahipara,NZ,-35.1667,173.1667,69.12,62,46,16.78,scattered clouds
339,Bilokurakyne,UA,49.5341,38.7307,15.93,95,16,7.36,few clouds
340,Porto Belo,BR,-27.1578,-48.5531,76.24,72,21,5.82,few clouds
341,Kondinskoye,RU,59.6481,67.41,0.37,97,100,3.62,overcast clouds
342,Genhe,CN,50.7833,121.5167,2.05,67,80,1.66,broken clouds
343,Guilin,CN,25.2819,110.2864,44.71,83,100,4.88,overcast clouds
