City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Barreiras,BR,2022-02-12 23:41:10,-12.1528,-44.99,70.02,91,68,3.49
236,Alofi,NU,2022-02-12 23:41:11,-19.0595,-169.9187,85.89,70,35,11.5
237,Tatawin,TN,2022-02-12 23:41:11,32.9297,10.4518,49.08,85,32,3.85
238,Atyrau,KZ,2022-02-12 23:41:12,47.1167,51.8833,33.82,100,100,6.71
239,Riyadh,SA,2022-02-12 23:39:28,24.6877,46.7219,50.14,42,0,10.8
240,Saurimo,AO,2022-02-12 23:41:13,-9.6608,20.3916,62.87,97,89,0.94
241,Raga,SS,2022-02-12 23:41:13,8.4596,25.678,69.49,18,13,4.32
242,Sao Joao Da Barra,BR,2022-02-12 23:41:14,-21.6403,-41.0511,73.38,89,94,5.48
243,Garmsar,IR,2022-02-12 23:41:15,35.2182,52.3409,45.75,54,3,4.76
244,Shinpokh,PK,2022-02-12 23:41:16,34.3292,71.1782,49.41,36,43,1.23
245,Pisco,PE,2022-02-12 23:41:17,-13.7,-76.2167,72.01,73,0,21.85
246,Ilulissat,GL,2022-02-12 23:41:18,69.2167,-51.1,15.82,79,75,18.41
247,Aranos,NA,2022-02-12 23:41:18,-24.1333,19.1167,73.98,46,50,8.32
248,Nouadhibou,MR,2022-02-12 23:41:20,20.931,-17.0347,67.98,64,77,20.71
249,Salalah,OM,2022-02-12 23:41:20,17.0151,54.0924,75.29,64,40,4.61
250,Ukiah,US,2022-02-12 23:41:21,39.1502,-123.2078,80.49,24,0,0.0
251,Alvorada,BR,2022-02-12 23:41:21,-12.48,-49.1247,72.18,95,93,2.68
252,Grand Gaube,MU,2022-02-12 23:41:22,-20.0064,57.6608,77.4,87,9,5.01
253,Mount Gambier,AU,2022-02-12 23:41:22,-37.8333,140.7667,75.11,41,87,12.66
254,Bang Lamung,TH,2022-02-12 23:41:23,13.047,100.9289,81.03,89,49,3.8
255,Karymskoye,RU,2022-02-12 23:41:24,51.6167,114.35,-11.61,99,100,1.74
256,Guigue,VE,2022-02-12 23:41:24,10.0853,-67.7792,71.82,86,71,5.64
257,Bandarbeyla,SO,2022-02-12 23:41:24,9.4942,50.8122,74.91,71,100,12.66
258,Wschowa,PL,2022-02-12 23:41:25,51.807,16.3166,36.54,81,70,6.76
259,Nan,TH,2022-02-12 23:41:25,18.8333,100.6667,66.22,94,40,0.0
260,Argelia,CO,2022-02-12 23:41:26,2.2556,-77.2488,66.06,98,100,2.46
261,Saint Paul,US,2022-02-12 23:37:19,44.9444,-93.0933,6.3,58,100,5.75
262,Karratha,AU,2022-02-12 23:41:26,-20.7377,116.8463,87.58,56,60,12.77
263,Kaffrine,SN,2022-02-12 23:41:27,14.1059,-15.5508,74.62,11,33,11.18
264,Yumen,CN,2022-02-12 23:41:27,40.2833,97.2,22.06,55,100,7.18
265,Whyalla,AU,2022-02-12 23:41:28,-33.0333,137.5833,78.69,47,39,4.61
266,Hami,CN,2022-02-12 23:41:29,42.8,93.45,25.99,55,78,4.85
267,Berlevag,NO,2022-02-12 23:41:29,70.8578,29.0864,24.69,78,71,21.45
268,Carora,VE,2022-02-12 23:41:29,10.1755,-70.0827,75.65,71,73,13.73
269,Lapeer,US,2022-02-12 23:37:55,43.0514,-83.3188,19.27,62,100,3.44
270,Westport,US,2022-02-12 23:37:33,41.1415,-73.3579,53.35,51,0,9.22
271,Intipuca,SV,2022-02-12 23:41:30,13.1969,-88.0544,91.29,64,0,6.29
272,Constantine,DZ,2022-02-12 23:41:30,36.365,6.6147,40.41,93,40,5.75
273,Ponta Do Sol,PT,2022-02-12 23:41:31,32.6667,-17.1,64.06,71,27,4.61
274,Cantagallo,CO,2022-02-12 23:41:31,7.376,-73.9196,90.18,75,9,1.83
275,Puksoozero,RU,2022-02-12 23:42:32,62.5903,40.6066,14.4,96,99,5.14
276,Aykhal,RU,2022-02-12 23:42:32,66.0,111.5,-8.45,80,75,4.43
277,Upernavik,GL,2022-02-12 23:42:33,72.7868,-56.1549,8.98,87,100,31.61
278,Ayan,RU,2022-02-12 23:42:33,56.45,138.1667,-4.45,78,39,6.42
279,Inongo,CD,2022-02-12 23:42:34,-1.95,18.2667,75.76,74,100,4.83
280,San Jose,US,2022-02-12 23:39:45,37.3394,-121.895,83.46,35,20,5.75
281,Cherskiy,RU,2022-02-12 23:42:34,68.75,161.3,-18.13,97,100,10.2
282,Kruisfontein,ZA,2022-02-12 23:42:35,-34.0033,24.7314,70.56,94,99,8.97
283,Tilichiki,RU,2022-02-12 23:42:35,60.4667,166.1,-15.32,88,12,8.86
284,Sidney,AU,2022-02-12 23:38:29,-33.8679,151.2073,76.3,68,40,11.5
285,Kiunga,PG,2022-02-12 23:42:36,-6.1219,141.2906,84.6,63,52,2.8
286,Noumea,NC,2022-02-12 23:42:36,-22.2763,166.4572,85.98,99,65,7.43
287,Knysna,ZA,2022-02-12 23:42:37,-34.0363,23.0471,70.18,90,100,2.59
288,Ouallam,NE,2022-02-12 23:42:37,14.3188,2.0866,72.3,10,1,10.36
289,Alihe,CN,2022-02-12 23:42:38,50.5667,123.7167,-7.02,92,90,2.71
290,Aldan,RU,2022-02-12 23:42:39,58.6031,125.3894,-30.12,98,72,3.06
291,Mayumba,GA,2022-02-12 23:42:39,-3.432,10.6554,77.72,89,100,3.49
292,Ca Mau,VN,2022-02-12 23:42:40,9.1769,105.15,78.33,81,56,9.51
293,Connersville,US,2022-02-12 23:42:40,39.6412,-85.1411,28.65,79,100,7.0
